fold,sample_name,true_label,pred_label,correct,probabilities_json
3,5ky2_B_1_100000,1,1,1,"[0.36501312255859375, 0.6349868774414062]"
3,4lor_A_117_159,1,1,1,"[0.3663327395915985, 0.6336672902107239]"
3,1p0s_L_87_138,1,1,1,"[0.3905767500400543, 0.6094232201576233]"
3,1ijq_A_643_692,1,1,1,"[0.4582952857017517, 0.5417047142982483]"
3,1nt0_A_120_164,1,1,1,"[0.35964155197143555, 0.6403583884239197]"
3,2i9a_A_10_49,1,1,1,"[0.3610992133617401, 0.6389008164405823]"
3,1cvu_A_33_73,1,1,1,"[0.3617393970489502, 0.6382606029510498]"
3,4jhs_A_263_345,0,0,1,"[0.6255804896354675, 0.37441954016685486]"
3,1gpz_A_290_357,0,0,1,"[0.6374812126159668, 0.3625187575817108]"
3,1ok3_A_1_64,0,0,1,"[0.6359323859214783, 0.3640676736831665]"
3,1ly2_A_2_66,0,0,1,"[0.6060514450073242, 0.39394858479499817]"
3,1ly2_A_67_128,0,0,1,"[0.6283050775527954, 0.371694952249527]"
3,2psm_C_3_71,0,0,1,"[0.6300873160362244, 0.3699127435684204]"
3,1zjk_A_311_363,0,0,1,"[0.6276381015777588, 0.3723619282245636]"
4,1rfn_B_1_100000,1,1,1,"[0.431086003780365, 0.568913996219635]"
4,5e8d_A_1_100000,1,1,1,"[0.40383180975914, 0.5961682200431824]"
4,5wb7_E_1_100000,1,1,1,"[0.40286722779273987, 0.5971327424049377]"
4,1nzi_A_118_159,1,1,1,"[0.4016698896884918, 0.5983301401138306]"
4,1g1q_A_119_158,1,1,1,"[0.39470118284225464, 0.6052988171577454]"
4,1xka_L_49_86,1,1,1,"[0.3875671923160553, 0.6124328374862671]"
4,1uzk_A_1605_1647,1,1,1,"[0.4092382788658142, 0.5907617807388306]"
4,1dx5_I_388_422,1,1,1,"[0.43626970052719116, 0.5637302994728088]"
4,1qub_A_1_62,0,0,1,"[0.5257947444915771, 0.47420522570610046]"
4,1qub_A_121_183,0,0,1,"[0.5247752070426941, 0.4752248227596283]"
4,2o39_C_63_126,0,0,1,"[0.5251312255859375, 0.4748687744140625]"
4,1elv_A_342_409,0,0,1,"[0.5112391114234924, 0.4887608289718628]"
4,1h03_P_5_66,0,0,1,"[0.5026730298995972, 0.49732691049575806]"
4,1q3x_A_363_440,0,0,1,"[0.510694146156311, 0.4893058240413666]"
4,2qy0_A_292_357,0,0,1,"[0.5155721306800842, 0.4844278395175934]"
5,5l0s_B_1_100000,1,1,1,"[0.39056533575057983, 0.6094346046447754]"
5,1edm_B_1_100000,1,1,1,"[0.39128002524375916, 0.6087199449539185]"
5,1kig_L_1_100000,1,1,1,"[0.39017173647880554, 0.6098282933235168]"
5,1fak_L_49_86,1,1,1,"[0.39090967178344727, 0.6090903282165527]"
5,5vyg_A_43_84,1,1,1,"[0.3921830952167511, 0.6078169345855713]"
5,2h9e_L_89_136,1,1,1,"[0.3878874182701111, 0.6121126413345337]"
5,3bps_E_293_332,1,1,1,"[0.38909468054771423, 0.6109053492546082]"
5,1dx5_I_423_462,1,1,1,"[0.3941369354724884, 0.605863094329834]"
5,3op8_A_244_326,0,0,1,"[0.6621974110603333, 0.3378026485443115]"
5,1qub_A_63_120,0,0,1,"[0.6618345975875854, 0.33816543221473694]"
5,1gpz_A_358_433,0,0,1,"[0.6718462705612183, 0.32815372943878174]"
5,1h03_P_67_129,0,0,1,"[0.6606888771057129, 0.3393111824989319]"
5,1ok3_A_65_128,0,0,1,"[0.6623935103416443, 0.3376064598560333]"
5,1ok3_A_191_254,0,0,1,"[0.6137133836746216, 0.38628658652305603]"
5,2b5i_D_1_64,0,0,1,"[0.5180279612541199, 0.48197200894355774]"
